parameter,value,unit,note
scenario_id,H15_strong_complementarity_counterfactual_v1,,
source_benchmark,case3,,"refinery-planning-benchmark/case3"
scenario_type,strong_complementarity_counterfactual,,"not real industrial data; used for method validation"
standalone_A_profit,22729950.00,CNY,Refinery A independent optimisation
standalone_B_profit,33551820.00,CNY,Refinery B independent optimisation
standalone_total_profit,56281770.00,CNY,System baseline
coordinated_total_profit,60401700.00,CNY,Centralized coordinated reference
coordination_value,4119930.00,CNY,Coordination value = coordinated - standalone
total_exchange_quantity,3.78,kt,Non-zero exchange flow total in centralized reference
nonzero_exchange_flows,4,count,Number of non-zero exchange streams
single_flow_dominance,0.487,fraction,"Max single-flow contribution; < 0.80 threshold"
system_capacity,8.15,kt,"Total system capacity = sum(fv_max) for all 10 streams"
admm_rho,0.10,,"Main report ADMM penalty parameter"
admm_iterations,32,,Actual convergence iterations
admm_primal_residual,7.1097e-05,,Final primal residual
admm_dual_residual,4.1687e-07,,Final dual residual
admm_profit_no_disclosure,60288563.64,CNY,ADMM distributed baseline (no disclosure control)
admm_rel_total_error_pct,0.187,%,Relative total-profit error
admm_cv_gap_pct,2.75,%,Coordination-value gap
delta_A,5007750.00,CNY,A pre-transfer profit gain under coordination
delta_B,-887820.00,CNY,B pre-transfer profit change under coordination
ir_t_lo,-5007750.00,CNY,"IR interval lower bound (A pays most; sign: +A_income)"
ir_t_hi,-887820.00,CNY,"IR interval upper bound (A pays least; sign: +A_income)"
